City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Faya,SA,2022-09-29 16:26:22,18.3851,42.4509,71.71,49,43,6.4
215,Predivinsk,RU,2022-09-29 16:21:23,57.0669,93.4378,34.39,98,100,5.26
216,Klaksvik,FO,2022-09-29 16:26:25,62.2266,-6.589,47.32,83,99,17.74
217,Port Blair,IN,2022-09-29 16:26:26,11.6667,92.75,78.84,94,75,2.3
218,Tromso,NO,2022-09-29 16:26:26,69.6496,18.957,50.38,66,75,3.44
219,Manthani,IN,2022-09-29 16:26:29,18.65,79.6667,78.19,90,98,5.5
220,Bongandanga,CD,2022-09-29 16:24:06,1.5,21.05,77.07,74,98,2.64
221,Guanica,PR,2022-09-29 16:26:30,17.9716,-66.908,89.69,71,7,10.71
222,Kysyl-Syr,RU,2022-09-29 16:26:31,63.8986,122.7617,24.62,91,95,4.09
223,Coachella,US,2022-09-29 16:26:31,33.6803,-116.1739,93.61,59,0,0.0
224,Koungou,YT,2022-09-29 16:26:32,-12.7336,45.2042,74.91,78,0,3.44
225,Coihaique,CL,2022-09-29 16:26:33,-45.5752,-72.0662,58.95,47,75,10.36
226,Paraiso,CR,2022-09-29 16:27:34,9.8383,-83.8656,76.42,73,37,2.26
227,Carballo,ES,2022-09-29 16:27:34,43.213,-8.691,66.0,91,26,7.58
228,Berdigestyakh,RU,2022-09-29 16:27:35,62.0989,126.6992,22.77,79,35,4.0
229,Aklavik,CA,2022-09-29 16:27:36,68.2191,-135.0107,25.27,92,94,9.04
230,Cayenne,GF,2022-09-29 16:24:31,4.9333,-52.3333,91.44,52,20,11.5
231,Eureka,US,2022-09-29 16:27:37,40.8021,-124.1637,58.19,91,0,1.01
232,Nauta,PE,2022-09-29 16:27:37,-4.5061,-73.5757,99.19,36,100,2.17
233,Yuxia,CN,2022-09-29 16:27:38,34.0615,108.6291,66.81,52,95,7.18
234,Cockburn Town,TC,2022-09-29 16:27:39,21.4612,-71.1419,81.63,74,5,15.75
235,Port Macquarie,AU,2022-09-29 16:27:39,-31.4333,152.9167,60.89,87,96,20.4
236,Najran,SA,2022-09-29 16:26:30,17.4924,44.1277,84.85,12,22,10.2
237,Sisimiut,GL,2022-09-29 16:27:41,66.9395,-53.6735,39.94,87,99,10.07
238,Bundaberg,AU,2022-09-29 16:27:41,-24.85,152.35,54.21,85,0,8.01
239,Awbari,LY,2022-09-29 16:27:42,26.5921,12.7805,102.15,9,82,9.37
240,San Policarpo,PH,2022-09-29 16:27:43,12.1791,125.5072,81.43,79,100,10.69
241,Banjar,ID,2022-09-29 16:27:44,-8.19,114.9675,76.69,91,94,5.48
242,Kez,RU,2022-09-29 16:27:45,57.8979,53.7152,36.79,84,100,11.9
243,Castro,BR,2022-09-29 16:27:46,-24.7911,-50.0119,56.48,85,100,10.47
244,Cabo San Lucas,MX,2022-09-29 16:24:24,22.8909,-109.9124,88.52,69,0,3.44
245,Port Elizabeth,ZA,2022-09-29 16:27:47,-33.918,25.5701,66.09,86,0,8.05
