City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
292,Port-Cartier,CA,50.0334,-66.8654,51.48,46,0,9.42,clear sky
293,Alakurtti,RU,66.9672,30.3491,40.91,87,100,0.36,overcast clouds
294,Barra Do Garcas,BR,-15.89,-52.2567,88.38,55,20,4.61,few clouds
295,Ilhabela,BR,-23.7781,-45.3581,67.8,88,90,4.38,overcast clouds
296,Simao,CN,22.7886,100.9748,61.83,98,56,2.08,broken clouds
297,Merauke,ID,-8.4667,140.3333,78.73,86,88,10.71,overcast clouds
298,Igrim,RU,63.1906,64.4162,45.72,89,100,6.69,overcast clouds
299,Russell,US,32.3502,-85.1999,80.01,44,0,8.05,clear sky
300,Padang,ID,-0.9492,100.3543,73.45,85,100,2.75,moderate rain
301,Marienburg,PL,54.0359,19.0266,53.04,89,75,9.91,light rain
302,Siukh,RU,42.5999,46.5446,46.0,90,75,4.25,broken clouds
303,Corinto,GR,37.9407,22.9573,70.9,63,30,3.31,scattered clouds
304,Gandu,BR,-13.7439,-39.4867,73.58,80,12,5.68,few clouds
305,Tabou,CI,4.423,-7.3528,76.1,91,94,6.31,light rain
306,Guerrero Negro,MX,27.9769,-114.0611,73.36,69,77,16.67,broken clouds
307,Santa Fe,AR,-31.6333,-60.7,81.01,34,7,5.99,clear sky
308,Honningsvag,NO,70.9821,25.9704,42.55,87,100,6.91,overcast clouds
309,East London,ZA,-33.0153,27.9116,63.52,74,100,11.54,overcast clouds
310,Santa Branca,BR,-23.3967,-45.8839,64.08,77,100,12.66,overcast clouds
311,Kloulklubed,PW,7.0419,134.2556,82.11,79,100,10.63,heavy intensity rain
312,Singaraja,ID,-8.112,115.0882,79.16,84,93,4.76,overcast clouds
313,Manhumirim,BR,-20.3578,-41.9581,68.85,93,76,2.08,broken clouds
314,Camacha,PT,33.0833,-16.3333,67.42,73,20,3.44,few clouds
315,Novobiryusinskiy,RU,56.9578,97.7076,24.76,97,47,0.78,scattered clouds
316,Montepuez,MZ,-13.1256,38.9997,67.84,59,0,6.44,clear sky
317,Chester,US,40.1254,-75.8749,49.55,90,100,10.36,light rain
318,Souillac,MU,-20.5167,57.5167,70.18,78,40,11.5,scattered clouds
319,Paamiut,GL,61.994,-49.6678,37.45,66,0,15.12,clear sky
320,Aklavik,CA,68.2191,-135.0107,29.03,86,83,6.31,broken clouds
321,Hailar,CN,49.2,119.7,21.47,40,0,7.87,clear sky
322,Sobolevo,RU,54.4299,31.8996,37.29,97,100,14.76,overcast clouds
323,Tuatapere,NZ,-46.1333,167.6833,45.99,72,100,6.98,overcast clouds
324,Suntar,RU,62.1444,117.6319,28.92,96,100,5.64,light snow
325,Shwebo,MM,22.5667,95.7,75.18,95,99,1.54,overcast clouds
326,Cidreira,BR,-30.1811,-50.2056,59.23,67,16,16.11,few clouds
327,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,92,50,11.05,light rain
328,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,56.73,68,30,11.52,scattered clouds
329,Naze,JP,28.3667,129.4833,77.92,78,17,8.1,few clouds
330,Grand Forks,US,47.9417,-97.4337,67.93,60,75,8.05,broken clouds
331,Faya,SA,18.3851,42.4509,63.12,55,31,3.94,scattered clouds
332,Voi,KE,-3.3945,38.563,67.82,74,29,7.23,scattered clouds
333,Quang Ngai,VN,15.1167,108.8,74.41,92,70,4.7,broken clouds
334,Kichera,RU,55.9375,110.0997,25.83,76,100,3.58,overcast clouds
335,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,100,75,2.24,light rain
336,Los Llanos De Aridane,ES,28.6585,-17.9182,75.13,54,100,6.91,overcast clouds
337,Tucuman,AR,-26.8241,-65.2226,84.2,28,0,20.71,clear sky
338,Kaputa,ZM,-8.4689,29.6619,76.03,50,9,3.49,clear sky
339,Leander,US,30.5788,-97.8531,89.19,25,77,5.01,broken clouds
340,Agdas,AZ,40.65,47.4761,73.27,75,4,9.17,clear sky
341,Majene,ID,-3.5403,118.9707,77.74,87,98,3.71,overcast clouds
342,Sao Filipe,CV,14.8961,-24.4956,79.41,81,100,14.92,light rain
